t,S,I,R
0.0,9999.0,1.0,0.0
1.0,9998.70003,1.19997,0.1
2.0,9998.34008579775,1.4399172022499729,0.219997
3.0,9997.908182341245,1.727828938529545,0.3639887202249973
4.0,9997.38994208878,2.0732862971429062,0.5367716140779518
5.0,9996.768118541555,2.4877812146524247,0.7441002437922425
6.0,9996.022025383578,2.9850962511635006,0.992878365257485
7.0,9995.126852747342,3.5817592622827594,1.291387990373835
8.0,9994.052848601867,4.297587481530051,1.649563916602111
9.0,9992.76433910951,5.15633822573408,2.079322664755116
10.0,9991.218556927235,6.186486585435754,2.594956487328524
11.0,9989.364240739997,7.422154114129791,3.2136051458720996
12.0,9987.139962713089,8.904216729625293,3.9558205572850786
13.0,9984.472132950976,10.68162481877574,4.846242230247608
14.0,9981.272621390845,12.812973897029282,5.914404712125182
15.0,9977.435927824134,15.368370074036772,7.19570210182811
16.0,9972.83581999227,18.431640898496845,8.732539109231787
17.0,9967.321348135056,22.102948665860076,10.575703199081472
18.0,9960.712132372237,26.501869562092878,12.78599806566748
19.0,9952.792807561906,31.77100741621414,15.436185021876767
20.0,9943.306499938873,38.08021429762549,18.613285763498183
21.0,9931.947202668534,45.63149013820228,22.42130719326073
22.0,9918.350916143583,54.6646276493335,26.98445620708096
23.0,9902.08542735179,65.46365367619259,32.45091897201431
24.0,9882.638626619144,78.36408904122027,38.997284339633566
25.0,9859.405307420186,93.7609993360558,46.83369324375559
26.0,9831.672476585698,112.1177302369381,56.20979317736117
27.0,9798.603332510465,133.97510128847722,67.42156620105499
28.0,9759.220266291704,159.9606573783905,80.81907632990271
29.0,9712.38752761281,190.7973303194474,96.81514206774176
30.0,9656.794599273917,227.31052562639533,115.8948750996865
31.0,9590.941867587104,270.4322047505685,138.62592766232603
32.0,9513.13088094052,321.1999709220951,165.66914813738288
33.0,9421.462360070434,380.74849469997093,197.78914522959238
34.0,9313.846131726357,450.2898735740514,235.86399469958948
35.0,9188.02821381206,531.0788041309431,280.89298205699464
36.0,9041.64120272868,624.357934801229,334.000862470089
37.0,8872.284589872199,731.2787541775875,396.4366559502119
38.0,8677.641193224477,852.7942754075513,469.56453136797063
39.0,8455.6339112158,989.5221298754736,554.8439589087258
40.0,8204.622804897594,1141.5810232061324,653.7961718962731
41.0,7923.6355539985325,1308.4101717845801,767.9542742168863
42.0,7612.614593307564,1488.590115297091,898.7952913953444
43.0,7272.652708252644,1679.6929888223026,1047.6543029250536
44.0,6906.177995326899,1878.1984028658171,1215.6236018072839
45.0,6517.042820904998,2079.513737001136,1403.4434420938655
46.0,6110.474418784101,2278.13076542192,1611.3948157939792
47.0,5692.86062584143,2467.9314818223984,1839.2078923361712
48.0,5271.372927037193,2642.6260324443956,2086.001040518411
49.0,4853.464907325861,2796.271448911289,2350.2636437628507
50.0,4446.316746866415,2923.7924644796058,2629.8907886539796
51.0,4056.3135248910903,3021.4164400069703,2922.2700351019403
52.0,3688.6391537932336,3086.94916710413,3224.411679102637
53.0,3347.0399068867428,3119.853497300208,3533.1065958130503
54.0,3033.7716821136237,3121.136372343306,3845.0919455430712
55.0,2749.707227840725,3093.0871893818744,4157.205582777402
56.0,2494.5547018111783,3038.930996473234,4466.51430171559
57.0,2267.1313136392173,2962.4612849978716,4770.407401362913
58.0,2065.6426512993407,2867.703818837961,5066.6535298627
59.0,1887.9331117147701,2758.6429765387356,5353.423911746497
60.0,1731.689109150564,2639.0226814490684,5629.288209400371
61.0,1594.590104062564,2512.2194183921615,5893.190477545278
62.0,1474.4112973485055,2381.176283267004,6144.412419384494
63.0,1369.0863009576897,2248.3836513311194,6382.530047711194
64.0,1276.7393632676497,2115.8922238880473,6607.3684128443065
65.0,1195.6960765475558,1985.3462882193364,6818.957635233111
66.0,1124.4799535251923,1858.0277824197663,7017.492264055045
67.0,1061.8005036924753,1734.9044540105065,7203.295042297022
68.0,1006.5368309986751,1616.6776813032561,7376.785487698072
69.0,957.7194620961171,1503.8272820754885,7538.453255828397
70.0,914.512122425873,1396.6518935381837,7688.835984035946
71.0,876.1944698023815,1295.304356807857,7828.5011733897645
72.0,842.1463143780022,1199.8220765514504,7958.03160907055
73.0,811.8335421876873,1110.1526410866204,8078.0138167256955
74.0,784.7957676582163,1026.1751515074293,8189.029080834358
75.0,760.6356301848444,947.7177738300581,8291.646595985101
76.0,739.0095930008064,874.5720336310904,8386.418373368107
77.0,719.6200793220984,806.5043439466893,8473.875576731216
78.0,702.2087777231624,743.2652111509565,8554.526011125885
79.0,686.5509570597685,684.5965106992546,8628.85253224098
80.0,672.450645371158,630.2371713179397,8697.312183310905
81.0,659.7365435934687,579.927555963835,8760.335900442698
82.0,648.258561554283,533.4127824066371,8818.328656039082
83.0,637.8848794631551,490.4451862571012,8871.669934279746
84.0,628.4994524075883,450.786094686958,8920.714452905455
85.0,619.999887997677,414.2070496281734,8965.79306237415
86.0,612.2956382663575,380.49059439667553,9007.213767336967
87.0,605.3064563258438,349.43071689752173,9045.262826776634
88.0,598.9610762565446,320.8330252770687,9080.205898466385
89.0,593.1960814329867,294.5147175729197,9112.289200994092
90.0,587.9549321413288,270.3043951072857,9141.740672751383
91.0,583.1871280728445,248.04175966504135,9168.771112262111
92.0,578.8474852290088,227.57722654237293,9193.575288228616
93.0,574.8955100706255,208.77147904651898,9216.333010882854
94.0,571.2948564925861,191.4949847199065,9237.210158787506
