t_day,case_pred,case_obs
0,0.11920292202211755,70.0
1,0.1455944322197617,223.0
2,0.17782900769032123,1717.0
3,0.21720029414903283,4895.0
4,0.26528834574161686,8295.0
5,0.3240230334697055,12175.0
6,0.3957614910443138,15290.0
7,0.4833827054614131,14878.0
8,0.5904030472563663,12441.0
9,0.7211173751613233,9860.0
10,0.8807713753668334,7523.0
11,1.0757720477864186,6025.0
12,1.313944780679032,3568.0
13,1.604847321738463,2455.0
14,1.9601532327487403,1719.0
15,2.39412019687637,1319.0
16,2.9241619432038166,1269.0
